"item_id","item_name","description","price","local_url"
"CF_Americano","Americano(Hot/Iced)","A delightful concoction made by diluting espresso with hot water, delivering a rich, robust flavor with a smoother profile.","2.25","./assets/images/americano.png"
"CF_BlackEye","Black Eye","Bold and robust blend that delivers a powerful kick of energy with every sip, ensuring a rich and invigorating coffee experience.","2.50","./assets/images/blackeye.png"
"CF_Cappuccino","Cappuccino","Rich espresso meets frothy steamed milk, creating a harmonious balance of bold flavor and creamy texture in every delightful cup.","1.64","./assets/images/cappuccino.png"
"CF_Cortado","Cortado","Balanced with a splash of warm, silky milk, creating a harmonious and flavorful coffee indulgence.","3.45","./assets/images/cortado.png"
"CF_Latte","Latte(Hot/Iced)","A velvety blend of espresso and steamed milk, crowned with a delicate layer of foam, creating a creamy and satisfying coffee indulgence","1.97","./assets/images/latte.png"
"CF_Macchiato","Macchiato","Symphony of espresso perfection adorned with a touch of velvety foam, delivering a bold and rich flavor in every enticing sip.","2.50","./assets/images/macchiato.png"
"smoothie_apple_pie","Apple Pie Smoothie","Combining fresh apple slices, warm cinnamon and oats, mixed with yogurt or almond milk, creating a comforting, spiked concoction.","2.60","./assets/images/smoothie_apple_pie.jpg"
"smoothie_coconut","Coconut Smoothie","A tropical oasis in a glass, combining creamy coconut milk or water with chunks of fresh fruit, offering a delightful balance of sweetness and nutty richness.","2.26","./assets/images/smoothie_coconut.jpg"
"smoothie_Mango","Mango Smoothies","A tropical delight, blending ripe, juicy mangoes with creamy yogurt or non-dairy alternatives, often enhanced with a splash of citrus or honey for a sweet-tangy fusion.","2.10","./assets/images/smoothie_mango.jpg"
"smoothie_mixed_fruit","Mixed Fruit With Yogurt","Creates a vibrant symphony of flavors and textures, blending assorted fresh fruits like berries, bananas, and kiwi with creamy yogurt, delivering a harmonious balance of sweetness and tanginess.","2.26","./assets/images/smoothie_mixed_fruit.jpg"
"SNACK_ChocoCake","Choco Cake","Decadent symphony of moist layers and velvety cocoa, ensuring an unforgettable experience for every chocolate lover.","2.00","./assets/images/Snack_ChocoCake.png"
"SNACK_ChristmasCookies","Christmas Cookies","Warmth of cinnamon, nutmeg, and a hint of sweetness to every delicious bite.","1.50","./assets/images/Snack_Christmas_Cookies.png"
"SNACK_CoffeeDonut","Coffee Donut","Rich coffee flavor, delivering a delectable treat that pairs perfectly with your favorite cup of coffee.","2.45","./assets/images/Snack_Donut.png"
"SNACK_CreamWhippedCake","Cream Whipped Cake","A luscious symphony of light and airy layers, generously adorned with billowy clouds of whipped cream for an irresistibly delightful treat.","2.34","./assets/images/Snack_whipped_cake.png"
"SNACK_Flan","Flan","A luscious dessert characterized by its smooth, creamy custard base complemented by a caramelized sugar topping.","1.65","./assets/images/Snack_flan.png"
"SNACK_Vanilla","Vanilla Panna Cotta","Delicate essence of vanilla, creating a luxurious and satisfying culinary experience.","3.00","./assets/images/Snack_VPC.png"
"TEA_BlueButterfly","Blue Butterfly Pea Flower Tea","A type of tea made from the dried flowers of the Clitoria ternatea plant. Enjoy hot or served over ice.","2.75","./assets/images/Tea_BBPF.jpg"
"TEA_Cream_Choco_Milk","Cream Chocolate Milk Tea","A heavenly blend of chocolatey richness and creamy perfection, topped with luscious whipped cream.","2.50","./assets/images/Tea_Cream_Choco_Milk.png"
"TEA_IcedApple","Iced Apple Tea","Crisp and refreshing blend that captures the essence of ripe apples in every cool and invigorating sip.","2.25","./assets/images/Tea_Iced_Apple.jpg"
"TEA_Matcha","Matcha Tea","Imported directly from Uji, Japan, our Matcha Supreme boasts a perfect blend of fragrant Uji Matcha","2.20","./assets/images/Tea_Matcha.jpg"
"TEA_PeachIced","Peach Iced Tea","A harmonious blend of premium tea leaves and succulent peach flavor, served over ice for a delightful and invigorating experience.","2.70","./assets/images/Tea_Peach_Iced.jpg"
"TEA_RubyRed","Ruby Red Tea","A luscious infusion of finest red tea leaves, brimming with robust flavor and warmth to elevate your tea experience.","2.80","./assets/images/Tea_Ruby_Red.png"
